scenario,strategy,annual_flow_kinzhal,annual_flow_cruise,annual_flow_shahed,capital_cost,total_cost,lives_saved,cost_per_life,pk_kinzhal,pk_cruise,pk_shahed
64,passive,159.63880664513002,1969.0247964668345,8770.24670899635,771566263.9552286,1248192677.6003258,341409.29550378135,3656.0008589060258,0.4140039704596618,0.9359207513276409,0.9272724475844448
65,passive,274.05316864619726,2334.530229372383,12025.48033433714,473327802.7635345,765720748.9678133,506799.5336848069,1510.8947385970503,0.6421434070739365,0.8813806843405272,0.8666473994609281
66,passive,191.8246179173293,1764.6305873447498,6588.842799463256,790979133.9156005,1279597630.444596,302544.1052383244,4229.458146066383,0.6693626293157148,0.7071664272140298,0.8316860682393261
67,passive,333.34383131055233,1553.0823886581632,11704.40290055281,487787969.11394167,789113521.0454013,402290.898639324,1961.5495247703457,0.5224240121957572,0.8587871952197416,0.8930095393896452
68,passive,317.3372738267418,2744.131116514841,5860.194657878905,703258673.2271004,1137688838.1318898,228368.12961865467,4981.819661227175,0.4251753796339875,0.8008452939028985,0.9255803989933011
69,passive,90.93111090420626,2490.623557904232,10132.665020535114,1077480825.7641065,1743082531.9904742,493740.72132648475,3530.360079086662,0.6374226012872619,0.8167806853760033,0.8904020091680942
70,passive,292.915469849023,1357.950781822479,16495.32911748375,948514886.7295722,1534449329.2664933,385989.73267803504,3975.363071500197,0.5234956017301843,0.742948074139969,0.8883319891736244
71,passive,114.82170037456785,1526.3620612290606,10344.07565006341,558182092.2995807,902992825.0159912,648375.4625934226,1392.7004908608512,0.6600804061168445,0.8414075154956717,0.9282159609036863
72,passive,244.4962204013514,3694.782648082266,8367.54367294505,935814134.1762366,1513902829.1437156,384111.03585964645,3941.315629621465,0.22450822006631235,0.8458403097041003,0.9422081314296088
73,passive,196.77216637209082,1991.3487805468317,12903.122915687498,383570305.3749699,620516563.3599291,382748.4759731854,1621.212368729069,0.5027644162337933,0.8008404259214853,0.8925896053921532
74,passive,233.52587040716645,1482.5689730291613,7897.340611788201,372242450.7685985,602191053.506618,610881.5580857878,985.7738305173237,0.7370287662158733,0.7975215724341881,0.9305007348890348
75,passive,66.01373963017681,2034.5192995795562,7185.177455668727,718845925.0556698,1162904940.1120324,138092.4453793527,8421.206076244252,0.5691465865923188,0.9121535600091155,0.7692749944405637
76,passive,310.606813894765,2008.4503679063234,11210.657075638293,637692072.6850612,1031619204.822381,190660.73945782057,5410.75843802968,0.5311211163494884,0.9101496680469442,0.9698816057633194
77,passive,73.66246513737205,1409.445196761467,8026.714664949829,877217040.3895551,1419108037.2897272,536342.8018445661,2645.8974230831373,0.4636407781062176,0.9598136058707314,0.7499734668810389
78,passive,185.0218115806727,1807.659189370557,5800.317601056501,698893829.5571611,1130627661.1958225,406739.42404828727,2779.73462700679,0.7618456479207876,0.7262754064189496,0.978951945086536
79,passive,327.47084703918665,1900.2830226713656,8657.128419315728,766532567.5508453,1240049471.6480515,346042.22771025484,3583.520658312139,0.7655941845251315,0.8302871202794793,0.9327211338824476
80,passive,270.01190985781807,1298.3963427606736,9270.969100703418,460387852.5079592,744787289.4426067,260305.85539305766,2861.2006760969316,0.5401263998871108,0.6292957220041071,0.9252462061235668
81,passive,188.54174436528032,983.0196898066454,7350.9826123023895,501073194.2363672,810605545.1174202,400208.3533486505,2025.458834966503,0.45654389101656,0.8580863892895673,0.8568892910456845
82,passive,185.82932363409898,1953.909974212238,11403.050961141924,978444274.7456973,1582867261.3508773,419439.86393585865,3773.764483179719,0.25844256835314555,0.8054582948441358,0.920104128020637
83,passive,141.62273780508107,2534.6631192176987,5866.743080726532,586060093.5152596,948092149.0911074,542349.1404771222,1748.1214190863102,0.4708020525489986,0.9298811851052238,0.8696708644417263
84,passive,245.8433465398446,1698.7789778068807,12869.535824920655,792988506.6150471,1282848270.612768,380665.89518544223,3370.011043379196,0.3697107745100962,0.7328420768739796,0.9015002857344131
85,passive,270.06469923006387,2594.062600224989,7427.137479936082,815996093.3934245,1320068536.3081732,347841.5006577946,3795.0288674923027,0.32177378030517234,0.916343220243036,0.806322297926159
86,passive,245.19892601846072,4538.5779404875975,5662.200635603747,677442796.2020065,1095925492.3586192,665805.741460497,1646.0138807974542,0.39346025066501994,0.9694233385568111,0.9387361503545618
87,passive,147.3718351788897,1428.5369794950768,6653.396335803286,462905266.71027815,748859808.0591075,255753.7867328823,2928.049737309428,0.30555699186389246,0.9112121937213611,0.9059825026156887
88,passive,269.9350163612293,2314.6763817989427,8012.6278327495,1285093368.951706,2078945397.29556,229990.25101007026,9039.276178730428,0.4709647166199226,0.9047775378324596,0.9417455257748832
89,passive,121.89464714289377,2532.3485938312683,8464.49926277732,1071824159.8470439,1733931524.0898504,369906.8506629447,4687.481513203416,0.6607962458166649,0.7411668246938533,0.9495002396561166
90,passive,227.74366060901716,2314.230246490207,8810.906829273787,1003757862.7437519,1623818034.6791377,335517.0006659823,4839.748899328351,0.5507027127183323,0.7719906206301983,0.8245639000809445
91,passive,236.5893801561449,1408.0815368764136,11613.020270656327,780155804.9842243,1262088311.3484626,258463.14774176857,4883.049372320651,0.43673410437651283,0.8300732089119214,0.8150928854290184
92,passive,309.1216459674459,769.4462183359582,7831.249798175174,687219584.2131996,1111741781.6083138,246514.08793370402,4509.8509011269925,0.473928391576681,0.7262477447803821,0.9115620445249246
93,passive,200.0498036920472,3684.56109337627,9037.409533514687,934380797.2694016,1511584064.4241767,325500.62981050473,4643.874469011532,0.514907185679276,0.9194596969162042,0.9187508494488672
