total_capital_cost,annual_opex,total_5yr_cost,patriot_5yr_cost,shelter_5yr_cost,savings_vs_patriot,savings_vs_shelters,prototype_months,partial_months,full_months,ai_accuracy,network_availability,hit_probability,sead_attrition_rate,ew_effectiveness,daily_kinzhal_rate,total_kinzhal_5yr,intercepted_kinzhal,leaked_kinzhal,casualties_without_defense,casualties_with_ai,casualties_with_shelters,lives_saved_by_ai,lives_saved_by_shelters,cost_per_life_saved,shelter_cost_per_life,system_failure_risk,budget_overrun_risk,is_cheaper_than_patriot,is_cheaper_than_shelters,hits_target_budget,hits_target_performance
983629192.2707603,523215622.31838423,3248879022.80779,1339617634535.1108,500000000,1336368755512.303,-2748879022.80779,22.004704166508684,30.443580129372364,49.027382730957456,0.9339249253622467,0.856409217919669,0.5682013105067316,0.09820949693970976,0.38526979282080015,41.96654108970363,76588.93748870913,43517.93465140267,33071.002837306456,3307100.2837306457,1131531.3485489783,94980.88071448878,2175568.935181667,3212119.403016157,1493.3468529860663,155.66046502832478,0.5455401397675166,0,1,0,1,0
1636453814.6628466,558456485.5151976,4054278140.2633724,1311653814613.315,500000000,1307599536473.0515,-3554278140.2633724,21.129013933200063,26.349619279214593,34.13334267390395,0.8701948752439527,0.7548939684883728,0.49928059036545136,0.08924651164640979,0.4402469719856005,58.05016032887048,105941.54260018862,52894.55593364879,53046.98666653983,5304698.666653983,2377532.787525285,136337.94214025047,2927165.8791286983,5168360.724513733,1385.0524048436132,96.74247341685746,0.6720201523216547,0,1,0,0,0
2296677497.847148,694778324.1634983,5304704043.57299,2268255487804.6206,500000000,2262950783761.048,-4804704043.57299,16.56009301188278,27.623863680591,37.393208893620155,0.9645004176882463,0.5787728728458069,0.37792808545937395,0.11358686757055067,0.30670386014050083,78.40949214577306,143097.3231660358,54080.49737850123,89016.82578753459,8901682.578753458,2895821.8529437943,284346.50975679216,6005860.7258096635,8617336.068996666,883.2545884350076,58.022571708546124,0.7890304604798634,1,1,0,0,0
1367343985.902475,574815277.7366221,3855993320.7853546,1473714913041.9915,500000000,1469858919721.206,-3355993320.7853546,17.55365148879952,24.699634449704554,29.703925975999038,0.9702804992375865,0.8423346015421257,0.5480979457058589,0.027200026157209532,0.29011808273121936,52.182442201245316,95232.9570172727,52196.98810466153,43035.96891261117,4303596.891261117,824958.5254625496,40587.95213513596,3478638.365798567,4263008.93912598,1108.4777764474982,117.28804868575108,0.5520390898278074,0,1,0,1,0
2502855995.5063114,512489259.88213366,4721666290.114863,845124042013.2131,500000000,840402375723.0983,-4221666290.1148634,13.330489699006744,23.414544100452936,55.16951875013992,0.9632283746516579,0.797240956713858,0.4912015350385985,0.05037711325540946,0.12703631693211087,32.268943313289164,58890.82154675272,28927.261943449106,29963.559603303613,2996355.9603303615,887509.397087452,87348.66017646257,2108846.5632429095,2909007.300153899,2238.9804798572222,171.87993992780557,0.6227940067109856,0,1,0,0,0
1330115800.7383075,503474358.555158,3509896290.36368,1566374799568.1616,500000000,1562864903277.7979,-3009896290.36368,17.51974054565472,25.17403143777677,41.355203494928276,0.923024453830837,0.7876338550823403,0.4813414126890672,0.04470552960077647,0.14464306293692789,53.94205387504711,98444.24832196097,47385.293558406025,51058.954763554946,5105895.476355495,1922084.8916128366,97389.21316771944,3183810.5847426583,5008506.263187775,1102.419945201413,99.83016367074758,0.6500622375787084,0,1,0,1,0
1247844362.3597012,492274313.9326337,3379134520.0818305,2170156348501.8142,500000000,2166777213981.7324,-2879134520.0818305,20.240388741640423,18.84131755225985,26.99779143674943,0.9378565847007059,0.6009193177339149,0.4346065709002782,0.13976036950828907,0.6252675520276973,69.1859696857389,126264.39467647349,54875.335597141486,71389.059079332,7138905.9079332,1861560.228629557,287698.1358329527,5277345.679303642,6851207.772100247,640.3094899267078,72.97983313775993,0.7550661067833813,0,1,0,1,0
1605348530.1428123,594346905.4050453,4178559591.3555784,1684943653015.8596,500000000,1680765093424.5042,-3678559591.3555784,21.742390041172595,32.6803349690296,31.84757489765507,0.9928861104953537,0.6225024538722853,0.4373883215012798,0.09060750632509049,0.49363101183732966,52.83732347491447,96428.11534171892,42176.53151484625,54251.58382687267,5425158.382687267,2929750.1760496567,261255.6223410228,2495408.20663761,5163902.760346244,1674.4994186686185,96.82599057432185,0.7296616329938157,0,1,0,0,0
2032023767.206301,564630924.9411951,4476580184.255906,1632547389223.3274,500000000,1628070809039.0715,-3976580184.255906,22.020227587413597,23.53465153922477,32.35685069604439,0.974399612920413,0.7725096339251435,0.4883404415162113,0.06914756885579866,0.19651570805792884,66.19281110113117,120801.88025956438,58992.44354194416,61809.43671762022,6180943.671762022,2583197.224682583,101695.63864148034,3597746.447079439,6079248.033120542,1244.2733944994602,82.24701431425964,0.6324099913284381,0,1,0,0,0
1439673132.6087403,470650026.72878367,3477341443.3627806,1848342104574.5508,500000000,1844864763131.188,-2977341443.3627806,14.323479911989494,30.637090861543946,43.073689206374425,0.8876531474420845,0.589391432485669,0.3860709102683779,0.08901284661868482,0.39439477770284553,73.36049452873283,133882.90251493742,51688.294043314396,82194.60847162303,8219460.847162303,1476192.7967170149,95811.55690831628,6743268.0504452875,8123649.290253987,515.6759923155,61.54869346709174,0.7980172897021642,0,1,0,1,0
1037408740.7878995,461657156.88258576,3036142631.3408065,605723505539.266,500000000,602687362907.9252,-2536142631.3408065,19.749246206110037,26.857014647998728,41.77690054323108,0.9700483387294058,0.8643583585829454,0.5685019692946828,0.1004284478196852,0.3228645978000085,31.84705587081442,58120.87696423631,33041.833011302304,25079.043952934007,2507904.3952934006,549694.1399344559,167754.36781513147,1958210.2553589446,2340150.0274782693,1550.468149695332,213.66151491526242,0.5233285006995549,0,1,0,1,0
1592582554.736604,624872281.0713065,4297952517.758689,915594218787.0444,500000000,911296266269.2858,-3797952517.758689,18.94421757893946,23.986595490553256,50.87048339341028,0.9619618350175169,0.8024515879130137,0.5035727296306937,0.045556229925190886,0.18670943574108542,51.813893680435534,94560.35596679486,47618.01656904894,46942.33939774592,4694233.939774592,1580033.2145772472,93808.75291344422,3114200.725197345,4600425.186861148,1380.1141599459136,108.68560615397118,0.6112782096581999,0,1,0,0,0
1914177983.3679137,638415229.6044823,4678181826.115937,1340555934935.7644,500000000,1335877753109.6484,-4178181826.115937,24.837048677417474,28.949901970671313,38.44481528082571,0.7173804366891792,0.5964266049803906,0.39088008328244683,0.07391627935656024,0.5691130389921646,44.74742391743478,81664.04864931847,31920.850137227393,49743.19851209108,4974319.851209109,2157585.1230375995,319341.4588047964,2816734.728171509,4654978.392404312,1660.8528234225278,107.41188419174343,0.8327561798112284,0,1,0,0,0
1281273303.5447881,497510272.92324597,3435232423.565153,500679898505.8681,500000000,497244666082.303,-2935232423.565153,14.487875961311923,24.447798444896108,34.98065824870196,0.8148850575793494,0.6619066514473719,0.39995316940207004,0.12922973627361198,0.22765115983110265,15.330735518232151,27978.592320773678,11190.12667410185,16788.46564667183,1678846.564667183,366094.99400671315,64132.01318699455,1312751.5706604698,1614714.5514801885,2616.8183686398665,309.65225373218834,0.7842741234760084,0,1,0,1,0
1384430177.2596736,584790230.2595417,3916265836.3811846,2033652488999.619,500000000,2029736223163.2378,-3416265836.3811846,16.500370619435035,23.646734712640857,27.342800099214184,0.9182761722287501,0.7505183024586068,0.48731756347168215,0.0750211791410189,0.33703982363744533,80.96936033734728,147769.0826156588,72010.46929670854,75758.61331895024,7575861.3318950245,1764218.6360742094,105032.94898105237,5811642.695820815,7470828.382913972,673.8655559808234,66.92698244059738,0.6641489836073523,0,1,0,1,0
1357035986.8036132,568058480.5864191,3816431926.0565047,1219231630397.626,500000000,1215415198471.5696,-3316431926.0565047,20.861757232363345,20.192930527449064,36.73605703449503,0.9508813729066012,0.7842050541573334,0.4994409443099041,0.11892036243723791,0.24441813295923057,44.6757755872962,81533.29044681556,40721.06357345125,40812.226873364314,4081222.6873364314,2237237.6765534286,362371.3882559253,1843985.0107830027,3718851.299080506,2069.6653734923534,134.450119079412,0.6275738907206156,0,1,0,1,0
1143045746.3192978,544249394.5812746,3499360803.1638727,2937796878811.6797,500000000,2934297518008.5156,-2999360803.1638727,17.439079693701515,27.737751820302908,34.29481116456369,0.9132798091879053,0.6385574619104657,0.48194037419040936,0.12943174387698625,0.7599907092033037,141.4797301977448,258200.50761088426,124437.2492541432,133763.25835674105,13376325.835674105,5473293.141188155,28495.00809453349,7903032.69448595,13347830.827579571,442.78708420445014,37.459270083562146,0.718941223658135,0,1,0,1,0
1342063991.979961,481299214.0097485,3425837710.628117,2622478278142.7207,500000000,2619052440432.093,-2925837710.628117,23.03481445904301,23.40559514144403,38.88551884804357,0.9288302506746703,0.608596219737209,0.3812103856052578,0.05609359698193826,0.2161132258022399,108.36415187153646,197764.57716555404,75389.91072034162,122374.66644521242,12237466.644521242,5760222.195262314,404589.270029406,6477244.449258928,11832877.374491837,528.9035696375598,42.25514929089447,0.7845084099545621,0,1,0,1,0
1566454507.5019658,517877297.56362534,3808592185.553016,1487756231089.6438,500000000,1483947638904.0908,-3308592185.553016,22.771765833392923,23.590219879386687,43.435248497969624,0.9450796319546519,0.6436118069195795,0.4490200407402565,0.08454549028293316,0.5190743523466886,63.028324001740216,115026.6913031759,51649.28961516895,63377.401688006954,6337740.168800696,3513814.7872412577,854830.8022540775,2823925.381559438,5482909.366546618,1348.6872600896493,91.19246125983702,0.726877090018214,0,1,0,1,0
1778708221.0050511,633195218.9606435,4520112149.45013,1411679907412.804,500000000,1407159795263.3538,-4020112149.4501305,17.73858416963828,26.417595795946514,36.01788424090511,0.8952928339782554,0.8180321420799003,0.5222433578272521,0.05642078460470655,0.3099119552469226,55.02933833509316,100428.54246154502,52448.13923681403,47980.40322473099,4798040.3224730985,710377.2866949611,271154.3550494368,4087663.0357781374,4526885.967423662,1105.793728564926,110.45120279107884,0.6175202896956867,0,1,0,0,0
